2024-03-14 23:36:42,136 INFO     tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:23.870190,2024-03-14 23:36:42.136035,0:00:18.265845,True
2024-03-14 23:36:42,137 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv complete in 0:00:18.265845
2024-03-14 23:36:42,137 INFO     Ingestions still running for this tenant: 1
2024-03-14 23:36:42,137 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv successful
2024-03-14 23:36:42,138 INFO     Removing data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv.
2024-03-14 23:36:43,186 INFO     tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:36:24.895116,2024-03-14 23:36:43.186697,0:00:18.291581,True
2024-03-14 23:36:43,187 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv complete in 0:00:18.291581
2024-03-14 23:36:43,187 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:36:43,187 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv successful
2024-03-14 23:36:43,187 INFO     Removing data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv.
2024-03-14 23:36:45,153 INFO     Event: created data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:36:45,154 INFO     New file uploaded: data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:36:45,154 INFO     Checking config for tenant1 at code\batch_ingestion\batchingestapps\tenant1\config.yaml
2024-03-14 23:36:47,163 INFO     Filesize: 107029978, Max filesize: 536870912000
2024-03-14 23:36:47,164 INFO     Executing code\batch_ingestion\batchingestapps\tenant1\batchingestapp.py
2024-03-14 23:36:47,164 INFO     Event: created data/client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv
2024-03-14 23:36:47,165 INFO     New file uploaded: data/client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv
2024-03-14 23:36:47,166 INFO     Checking config for tenant1 at code\batch_ingestion\batchingestapps\tenant1\config.yaml
2024-03-14 23:36:48,171 INFO     Filesize: 107029978, Max filesize: 536870912000
2024-03-14 23:36:48,171 INFO     Executing code\batch_ingestion\batchingestapps\tenant1\batchingestapp.py
2024-03-14 23:36:48,172 INFO     Event: created data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:36:48,184 INFO     New file uploaded: data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:36:48,203 INFO     Checking config for tenant2 at code\batch_ingestion\batchingestapps\tenant2\config.yaml
2024-03-14 23:36:49,233 INFO     Filesize: 107029978, Max filesize: 367001600
2024-03-14 23:36:49,234 INFO     Executing code\batch_ingestion\batchingestapps\tenant2\batchingestapp.py
2024-03-14 23:36:49,235 INFO     Event: created data/client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv
2024-03-14 23:36:49,238 INFO     New file uploaded: data/client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv
2024-03-14 23:36:49,244 INFO     Checking config for tenant2 at code\batch_ingestion\batchingestapps\tenant2\config.yaml
2024-03-14 23:36:50,252 INFO     Filesize: 107029978, Max filesize: 367001600
2024-03-14 23:36:50,252 INFO     Executing code\batch_ingestion\batchingestapps\tenant2\batchingestapp.py
2024-03-14 23:37:03,461 INFO     tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:47.164662,2024-03-14 23:37:03.461772,0:00:16.297110,True
2024-03-14 23:37:03,463 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv complete in 0:00:16.297110
2024-03-14 23:37:03,464 INFO     Ingestions still running for this tenant: 1
2024-03-14 23:37:03,464 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv successful
2024-03-14 23:37:03,464 INFO     Removing data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv.
2024-03-14 23:37:05,316 INFO     tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:36:48.172049,2024-03-14 23:37:05.316558,0:00:17.144509,True
2024-03-14 23:37:05,316 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv complete in 0:00:17.144509
2024-03-14 23:37:05,316 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:37:05,318 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv successful
2024-03-14 23:37:05,318 INFO     Removing data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv.
2024-03-14 23:37:06,837 INFO     tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:49.234129,2024-03-14 23:37:06.837315,0:00:17.603186,True
2024-03-14 23:37:06,838 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv complete in 0:00:17.603186
2024-03-14 23:37:06,838 INFO     Ingestions still running for this tenant: 1
2024-03-14 23:37:06,838 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv successful
